source_id,title,jurisdiction,document_type,authority,filename,relative_path,source_url,retrieved_date,priority
MSCS_ACT_2002,Multi-State Cooperative Societies Act 2002,Central,act,Ministry of Cooperation,mscs_act_2002.pdf,central/mscs_act_2002.pdf,https://www.cooperation.gov.in/en/mscs-act-2002,18-09-2026,P0
MSCS_AMD_2023,Multi-State Cooperative Societies Amendment Act 2023,Central,amendment,Ministry of Cooperation,mscs_amendment_act_2023.pdf,central/mscs_amendment_act_2023.pdf,https://cooperation.gov.in/sites/default/files/2023-11/MSCS_Amendment_Act_2023.pdf,18-09-2026,P0
MSCS_RULES_2002,Multi-State Cooperative Societies Rules 2002,Central,rules,Ministry of Cooperation,mscs_rules_2002.pdf,central/mscs_rules_2002.pdf,https://www.cooperation.gov.in/en/mscs-rules-2002,18-09-2026,P0
MSCS_RULES_AMD_2023,Multi-State Cooperative Societies Amendment Rules 2023,Central,amendment_rules,Ministry of Cooperation,mscs_amendment_rules_2023.pdf,central/mscs_amendment_rules_2023.pdf,https://cooperation.gov.in/sites/default/files/2023-11/2023_rule.pdf,18-09-2026,P0
KA_ACT_1959,Karnataka Co-operative Societies Act 1959,Karnataka,act,Government of Karnataka,karnataka_cooperative_societies_act_1959.pdf,karnataka/karnataka_cooperative_societies_act_1959.pdf,https://www.indiacode.nic.in/handle/123456789/2485,18-09-2026,P0
MH_ACT_1960,Maharashtra Cooperative Societies Act 1960,Maharashtra,act,Government of Maharashtra,maharashtra_cooperative_societies_act_1960.pdf,maharashtra/maharashtra_cooperative_societies_act_1960.pdf,https://mahasahakar.maharashtra.gov.in/en/document-category/acts-rules/,18-09-2026,P0
MH_RULES_1961,Maharashtra Cooperative Societies Rules 1961,Maharashtra,rules,Government of Maharashtra,maharashtra_cooperative_societies_rules_1961.pdf,maharashtra/maharashtra_cooperative_societies_rules_1961.pdf,https://mahasahakar.maharashtra.gov.in/en/document-category/acts-rules/,18-09-2026,P0
PACS_MODEL_BYLAWS,Model Bye-Laws for PACS,Central,model_byelaws,Ministry of Cooperation,model_bye_laws_pacs.pdf,pacs/model_bye_laws_pacs.pdf,https://www.cooperation.gov.in/sites/default/files/2023-06/Model%20Byelaws%2005.01.02023.pdf,18-09-2026,P0
PACS_COMPUTERIZATION,PACS Computerization Guidelines,Central,scheme_guideline,Ministry of Cooperation,pacs_computerization_guidelines.pdf,pacs/pacs_computerization_guidelines.pdf,https://www.cooperation.gov.in/computerization-pacs,18-09-2026,P1
PMFBY_2023,PMFBY Operational Guidelines 2023,India,scheme_guideline,Ministry of Agriculture and Farmers Welfare,pmfby_operational_guidelines_2023.pdf,pmfby/pmfby_operational_guidelines_2023.pdf,https://pmfby.gov.in/guidelines,18-09-2026,P0
CRCS_OMBUDSMAN,Cooperative Ombudsman Complaint and Appeal Guidance,Central,grievance_guidance,Central Registrar of Cooperative Societies,cooperative_ombudsman_guidance.pdf,grievance/cooperative_ombudsman_guidance.pdf,https://crcs.gov.in/about-ombuds,18-09-2026,P0
