chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_ACT_2002_DOC,MSCS_ACT_2002,parent,6,6,77,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW,REVIEW,B_SHORT,"The Multi-State Cooperative Societies Act, 2002"
MSCS_AMD_2023_DOC,MSCS_AMD_2023,parent,4,1,23,,,,,CONTEXT_PARENT;DUPLICATE_TEXT;SHORT_CHUNK,DUPLICATE_TEXT;METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,रजिस्ट्री सं. डी.एल.- 33004/99
MSCS_RULES_2002_DOC,MSCS_RULES_2002,parent,12,4,54,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,society against which or any person against whom a decree has been
MSCS_RULES_2002_FORM_IV,MSCS_RULES_2002,child,18,52,53,,,,FORM IV,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"FORM IV [See sub-paragraph (3) of paragraph 7 of the Schedule]

Nomination form for election of office bearers"
MSCS_RULES_AMD_2023_DOC,MSCS_RULES_AMD_2023,parent,4,1,49,,,,,CONTEXT_PARENT;DUPLICATE_TEXT;SHORT_CHUNK,DUPLICATE_TEXT;METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,रजिस्ट्री सं. डी.एल.- 33004/99
MSCS_RULES_AMD_2023_ITEM_11,MSCS_RULES_AMD_2023,child,9,42,42,,,,"In the principal rules, Schedule shall be omitted",SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"11. In the principal rules, Schedule shall be omitted."
MSCS_RULES_AMD_2023_FORM_VII,MSCS_RULES_AMD_2023,child,6,46,46,,,,FORM VII,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,FORM VII [See rule 30H (3)]
MSCS_RULES_AMD_2023_FORM_VIII,MSCS_RULES_AMD_2023,child,6,47,47,,,,FORM VIII,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,FORM VIII [See rule 30J (1)]
KA_ACT_1959_DOC,KA_ACT_1959,parent,2,6,189,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,CHAPTER XI
KA_ACT_1959_SEC_29C,KA_ACT_1959,parent,7,71,75,29C,,,Disqualification for membership of the *board*,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,29C. Disqualification for membership of the *board*.-
KA_ACT_1959_SEC_29G,KA_ACT_1959,parent,5,76,81,29G,,,Appointment of Chief Executive,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,[29G. Appointment of Chief Executive.-
KA_ACT_1959_SEC_30B,KA_ACT_1959,child,12,81,81,30B,,,XXX],SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"[30B. XXX]

1. Omitted by Act 25 of 1998 w.e.f. 15.08.1998.

1"
KA_ACT_1959_SEC_39,KA_ACT_1959,parent,10,88,91,39,,,Registration of documents executed on behalf of co-operative societies,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,39. Registration of documents executed on behalf of co-operative societies.-
KA_ACT_1959_SEC_54,KA_ACT_1959,child,10,99,99,54,,,XXX]1,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"1[54.XXX]1

1. Omitted by Act 6 of 2010 w.e.f. 03.11.2009."
KA_ACT_1959_SEC_98A,KA_ACT_1959,child,17,142,142,98A,,,Application of this Chapter,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"98A. Application of this Chapter.- This chapter shall apply only to co-operative

societies in co-operative credit structure."
KA_ACT_1959_SEC_98P,KA_ACT_1959,child,11,146,146,98P,,,[XXX],SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"98P. [XXX]

1. Omitted by Act, 3 of 2013 w.e.f. 11.02.2013."
KA_ACT_1959_SEC_100,KA_ACT_1959,child,12,149,149,100,,,Recovery of moneys due to Societies,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"100. Recovery of moneys due to Societies.-

(1) Notwithstanding anything contained in"
KA_ACT_1959_SEC_109,KA_ACT_1959,parent,7,160,165,109,,,Offences,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"CHAPTER XIV

OFFENCES AND PENALTIES.

109. Offences.-"
KA_ACT_1959_SEC_128A,KA_ACT_1959,child,14,172,172,128A,,,XXX]1,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,"1[128A. XXX]1

1. Inserted and Omitted by Act 6 of 2010 w.e.f. 01.07.2010.

1"
KA_ACT_1959_SEC_129,KA_ACT_1959,parent,5,172,175,129,,,Powers to make rules,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT,129. Powers to make rules.-
MH_ACT_1960_DOC,MH_ACT_1960,parent,2,1,125,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,¨É½þÉ®úÉ¹]Åõ ¶ÉÉºÉxÉ
