chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MH_ACT_1960_SEC_93,MH_ACT_1960,parent,1,78,80,93,,,,CONTEXT_PARENT;LEGACY_FONT_ENCODING_REVIEW;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,6[93.
MH_ACT_1960_SEC_103,MH_ACT_1960,parent,1,84,86,103,,,,CONTEXT_PARENT;LEGACY_FONT_ENCODING_REVIEW;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,103.
MH_ACT_1960_SEC_118,MH_ACT_1960,child,1,95,95,118,,,119. VÉÊ¨ÉxÉÒSªÉÉ ¡òÉªÉtÉºÉÉ`öÒ ¨½þhÉÚxÉ ªÉÉ¨ÉvªÉä Ê´ÉÊxÉÌnù¹]õ Eò®úhªÉÉiÉ +É±Éä±ÉÒ EòÉ¨Éä {ÉÉ®ú {ÉÉb÷hªÉÉSªÉÉ |ÉªÉÉäVÉxÉÉlÉÇ ËEò´ÉÉ,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,118.
MH_ACT_1960_SEC_124,MH_ACT_1960,child,1,97,97,124,,,125,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,124.
KA_ACT_1959_DOC,KA_ACT_1959,parent,2,6,189,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,CHAPTER XI
MH_ACT_1960_DOC,MH_ACT_1960,parent,2,1,125,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,¨É½þÉ®úÉ¹]Åõ ¶ÉÉºÉxÉ
MH_RULES_1961_DOC,MH_RULES_1961,parent,2,1,145,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,Chapter I
PACS_MODEL_BYLAWS_DOC,PACS_MODEL_BYLAWS,parent,2,3,37,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,CHAPTER I
PMFBY_2023_SEC_4_002,PMFBY_2023,parent,2,171,171,4,,,Proxy-Indicators:,SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,4. Proxy-Indicators:
PACS_COMPUTERIZATION_DOC,PACS_COMPUTERIZATION,parent,3,1,26,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,B_SHORT;D_TOP20_SHORT,Government of India
