chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_ACT_2002_CONTEXT_001,MSCS_ACT_2002,child,104,6,6,,,,,SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,METADATA_REVIEW;MISSING_STRUCTURAL_ID;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"The Multi-State Cooperative Societies Act, 2002

[Act No of 39 of 2002]

[3rd July 2002] An Act to consolidate and amend the law relating to cooperative societies, with objects not confined to one Sta"
MSCS_AMD_2023_CONTEXT_001,MSCS_AMD_2023,child,239,1,2,,,,,STRUCTURE_UNCERTAIN,METADATA_REVIEW,REVIEW,E_STRUCTURE,"रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99

xxxGIDHxxx

सी.जी.-डी.एल.-अ.-03082023-247829

xxxGIDExxx

CG-DL-E-03082023-247829

असाधारण EXTRAORDINARY

भाग II—खण् ड 3—उप-खण् ड (ii) PART II—"
MSCS_AMD_2023_CONTEXT_002,MSCS_AMD_2023,child,229,2,2,,,,,STRUCTURE_UNCERTAIN,METADATA_REVIEW,REVIEW,E_STRUCTURE,"PART II — Section 1

izkf/kdkj ls izdkf'kr PUBLISHED BY AUTHORITY

lañ 14] ubZ fnYyh] c`gLifrokj] vxLr 3] 2023@Jko.k 12] 1945 ¼'kd½ NEW DELHI, THURSDAY, AUGUST 3, 2023/SRAVANA 12, 1945 (SAKA) No. 14]
"
MSCS_RULES_2002_CONTEXT_001,MSCS_RULES_2002,child,112,4,4,,,,,RULE_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,METADATA_REVIEW;MISSING_STRUCTURAL_ID;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"society against which or any person against whom a decree has been obtained;

(ix) ""recovery officer"" means any person authorised to execute the powers of the Central Registrar under section 94;

(x) "
MSCS_RULES_2002_RULE_3,MSCS_RULES_2002,child,471,4,5,,3,,Application for registration,STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"Chapter 2 Registration

3. Application for registration

(1) An application for registration of a multi-state cooperative society under sub-section (1) of section 6 shall be made in Form I and shall, "
MSCS_RULES_2002_RULE_7,MSCS_RULES_2002,child,182,6,7,,7,,Refusal of amendment of bye-laws,STRUCTURE_UNCERTAIN,METADATA_REVIEW,REVIEW,E_STRUCTURE,"7. Refusal of amendment of bye-laws

(1) Where the Central Registrar refuses to register an amendment of bye-laws of a multi state cooperative society under sub-section (9) of section 11, he shall com"
MSCS_RULES_2002_RULE_9,MSCS_RULES_2002,child,203,7,8,,9,,Maintenance of Registration file by the society,STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"9. Maintenance of Registration file by the society

(1) Every multi-state cooperative society shall maintain at its registered address a registration file containing,

(a) the certificate of registrat"
MSCS_RULES_2002_RULE_14,MSCS_RULES_2002,child,523,9,11,,14,,Interim board and general meeting for the first election,STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"14. Interim board and general meeting for the first election

The first general meeting of the society shall be held within six months of the registration of the society by the promoter members for th"
MSCS_RULES_2002_RULE_19,MSCS_RULES_2002,child,132,11,12,,19,,Procedure for conduct of elections,STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"19. Procedure for conduct of elections

(1) The election of members of the board shall be conducted by a returning officer appointed by the board in its meeting. The returning officer so appointed sha"
MSCS_RULES_2002_RULE_26,MSCS_RULES_2002,child,677,14,16,,26,,Contributory Provident Fund,STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"26. Contributory Provident Fund

(1) Every multi-state cooperative society which has in its service ten or more regular employees shall establish a Contributory Provident Fund referred to in sub-secti"
