chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_RULES_2002_FORM_I,MSCS_RULES_2002,child,375,46,49,,,,FORM – I,TABLE_REVIEW,METADATA_REVIEW,REVIEW,F_TABLE,"FORM – I

Headquarters and address to be registered;

The Central Registrar of Cooperative Societies,

Area of operations; Main objectives; Act,2002;

:

indicated below :

(g) (h)

(d)

(b)

(e) (f)
"
MSCS_RULES_2002_FORM_II,MSCS_RULES_2002,child,76,49,50,,,,FORM – II,TABLE_REVIEW,METADATA_REVIEW,REVIEW,F_TABLE,"FORM – II

Registration

(7)

(10)

Name of the proposed multi-state co-operative society

called

No. and date of the report, if any sent to the Central

Government, if the society is not registered,"
MH_ACT_1960_CONTEXT_001,MH_ACT_1960,child,3546,1,14,,,,,LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN;TABLE_REVIEW,METADATA_REVIEW;MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE;F_TABLE;C_TOP20_LONG,"¨É½þÉ®úÉ¹]Åõ ¶ÉÉºÉxÉ

Ê´ÉÊvÉ ´É xªÉÉªÉ Ê´É¦ÉÉMÉ

ºÉxÉ 1961 SÉÉ ¨É½þÉ®úÉ¹]Åõ +ÊvÉÊxÉªÉ¨É Gò¨ÉÉÆEò 24

¨É½þÉ®úÉ¹]Åõ ºÉ½þEòÉ®úÒ ºÉÆºlÉÉ

+ÊvÉÊxÉªÉ¨É, 1960

( ÊnùxÉÉÆEò 20 VÉÖ±Éè 2016 {ÉªÉÈiÉ ºÉÖvÉÉÊ®úiÉ "
MH_ACT_1960_SEC_72,MH_ACT_1960,child,2123,48,51,72,,,ªÉÉ +ÊvÉÊxÉªÉ¨ÉÉiÉÒ±É +ÉÊhÉ ÊxÉªÉ¨ÉÉÆiÉÒ±É iÉ®úiÉÖnùÒºÉ +vÉÒxÉ ®úÉ½ÚþxÉ |ÉiªÉäEò ºÉÆºlÉäºÉÆ¤ÉÆvÉÒSÉÉ +ÆÊiÉ¨É |ÉÉÊvÉEòÉ®ú ={ÉÊ´ÉÊvÉiÉ,LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;F_TABLE,"72. ªÉÉ +ÊvÉÊxÉªÉ¨ÉÉiÉÒ±É +ÉÊhÉ ÊxÉªÉ¨ÉÉÆiÉÒ±É iÉ®úiÉÖnùÒºÉ +vÉÒxÉ ®úÉ½ÚþxÉ |ÉiªÉäEò ºÉÆºlÉäºÉÆ¤ÉÆvÉÒSÉÉ +ÆÊiÉ¨É |ÉÉÊvÉEòÉ®ú ={ÉÊ´ÉÊvÉiÉ

ºÉÆºlÉäºÉÆ¤ÉÆvÉÒSÉÉ +ÆÊiÉ¨É

4[ºÉÆºlÉäSªÉÉ Ê´ÉÊxÉÌnù¹]õ Eò®úhª"
MH_ACT_1960_SEC_73,MH_ACT_1960,child,3959,52,59,73,,,+++,LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;F_TABLE;C_TOP20_LONG,"1[ 73.+++.

(1) ={ÉÊ´ÉvÉÒ¨ÉvªÉä iÉ®úiÉÚnù Eò®úhªÉÉiÉ ªÉä<Ç±É <iÉCªÉÉ ºÉnùºªÉ ºÉÆJªÉäSÉÉ ºÉÊ¨ÉiÉÒiÉ +ÆiÉ¦ÉÉÇ´É +ºÉä±É ;

ºÉÊ¨ÉiÉÒSÉÒ ®úSÉxÉÉ Eò®úhÉä.

{É®ÆúiÉÖ, ºÉÊ¨ÉiÉÒSªÉÉ ºÉnùºªÉÉÆSÉÒ Eò¨ÉÉ±É ºÉÆJªÉ"
MH_RULES_1961_RULE_107A,MH_RULES_1961,child,1405,95,99,,107A,,Maximum rates of travelling allowance and daily allowance and,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;F_TABLE,"1[ 107A. Maximum rates of travelling allowance and daily allowance and sitting fees, etc for members of Committees:- Subject to the provisions of section 160-A, no member of a committee of any society"
MH_RULES_1961_FORM_M_014,MH_RULES_1961,child,67,128,128,,,,Form M-13,TABLE_REVIEW,METADATA_REVIEW,REVIEW,F_TABLE,"Form M-13 [See Rule 56A-11(2))

List of Blind and Infirm voters

Election to the ................................ Co-operative Society Ltd .......................,

(name of society)

Tahsil ........."
MH_RULES_1961_FORM_M_015,MH_RULES_1961,child,103,128,129,,,,Form M-14,TABLE_REVIEW,METADATA_REVIEW,REVIEW,F_TABLE,"Form M-14 [See Rule 56A-13(2)1

Tendered Voters List

Election to the ................................ Co-operative Society Ltd.,......................

(name of society)

Tahsil ....................."
MH_RULES_1961_FORM_N_002,MH_RULES_1961,child,263,139,139,,,,FORM ‘N',TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,F_TABLE,"FORM ‘N' Profit and Loss Account

Last

Lost

This

This

year's

year's

year's

Income

Expenditure year's

figures

figures

figures

Rs. nP.

Rs. nP.

Rs. nP.

Interest Received :

. ... (I)

Inte"
PACS_COMPUTERIZATION_SEC_3_8_1,PACS_COMPUTERIZATION,child,64,7,7,3.8.1,,,"Project Cost, Sources of Funds & Funding Pattern",TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,F_TABLE,"3.8.1 Project Cost:

The total cost of the project is estimated at ₹2516.00 crore to be shared as under:

Agency Cost share (₹ Crore)

Government of India (60.73%)

1528

State Govt. (29.25%)

736

NA"
