source_id,filename,pages,raw_chars,cleaned_chars,parent_records,child_records,total_records,sections_detected,rules_detected,clauses_detected,headings_detected,tables_detected,forms_detected,warnings,status
MSCS_ACT_2002,mscs_act_2002.pdf,77,172300,161154,14,187,201,124,0,0,127,0,0,SECTION_IDENTIFIER_MISSING;SHORT_CHUNK;STRUCTURE_UNCERTAIN,REVIEW
MSCS_AMD_2023,mscs_amendment_act_2023.pdf,23,67845,67697,1,49,50,47,0,0,47,1,0,BILINGUAL_REVIEW;DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MULTIPLE_AMENDMENT_ACTIONS;SHORT_CHUNK;STRUCTURE_UNCERTAIN;TABLE_REVIEW,REVIEW
MSCS_RULES_2002,mscs_rules_2002.pdf,54,115105,106302,2,33,35,0,22,0,30,6,6,LONG_CHUNK_NO_SAFE_SPLIT;RULE_IDENTIFIER_MISSING;SHORT_CHUNK;STRUCTURE_UNCERTAIN;TABLE_REVIEW,REVIEW
MSCS_RULES_AMD_2023,mscs_amendment_rules_2023.pdf,49,160440,157358,1,21,22,0,15,0,20,0,5,BILINGUAL_REVIEW;DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;MULTIPLE_AMENDMENT_ACTIONS;SHORT_CHUNK;STRUCTURE_UNCERTAIN,REVIEW
KA_ACT_1959,karnataka_cooperative_societies_act_1959.pdf,189,439820,427539,15,278,293,221,0,0,222,0,0,LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;SECTION_IDENTIFIER_MISSING;SHORT_CHUNK;STRUCTURE_UNCERTAIN,REVIEW
MH_ACT_1960,maharashtra_cooperative_societies_act_1960.pdf,125,622069,624596,15,120,135,90,0,0,40,3,0,LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;SHORT_CHUNK;STRUCTURE_UNCERTAIN;TABLE_REVIEW,REVIEW
MH_RULES_1961,maharashtra_cooperative_societies_rules_1961.pdf,145,394081,381632,7,180,187,0,86,0,141,3,52,LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;RULE_IDENTIFIER_MISSING;SHORT_CHUNK;STRUCTURE_UNCERTAIN;TABLE_REVIEW;TOC_REVIEW,REVIEW
PACS_MODEL_BYLAWS,model_bye_laws_pacs.pdf,37,60458,59841,6,55,61,0,0,17,19,0,0,LONG_CHUNK_NO_SAFE_SPLIT;SHORT_CHUNK,REVIEW
PACS_COMPUTERIZATION,pacs_computerization_guidelines.pdf,26,41579,37286,5,58,63,0,0,0,43,10,0,SHORT_CHUNK;STRUCTURE_UNCERTAIN;TABLE_REVIEW,REVIEW
PMFBY_2023,pmfby_operational_guidelines_2023.pdf,213,614945,591593,79,865,944,0,0,0,650,116,1,DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;SHORT_CHUNK;STRUCTURE_UNCERTAIN;TABLE_REVIEW;TOC_REVIEW,REVIEW
CRCS_OMBUDSMAN,cooperative_ombudsman_guidance.pdf,2,2439,2383,1,5,6,0,0,0,4,0,0,SHORT_CHUNK;STRUCTURE_UNCERTAIN,REVIEW
