source_id,parent_records,child_records,child_word_min,child_word_p10,child_word_median,child_word_p90,child_word_max,chunks_lt20,chunks_20_49,chunks_50_149,chunks_150_450,chunks_451_900,chunks_gt900,all_records_lt20,all_records_gt900,structure_warnings,table_warnings,duplicate_text_warnings,missing_heading_count,missing_structural_id_count,missing_parent_count,topic_tag_warnings,form_number_warnings,hierarchy_warnings,metadata_warnings,suspicious_chunks
MSCS_ACT_2002,14,187,21,37.2,95,294.2,725,0,37,87,58,5,0,1,0,1,0,0,2,1,0,121,0,0,201,201
MSCS_AMD_2023,1,49,27,33.8,119,466.8,1894,0,11,16,16,5,1,1,1,2,0,1,3,0,0,35,0,0,50,50
MSCS_RULES_2002,2,33,18,41.4,179,874.6,5025,1,4,10,11,3,4,2,4,9,2,0,3,3,0,20,0,0,35,35
MSCS_RULES_AMD_2023,1,21,6,9.0,281,1331.0,14562,3,1,3,7,3,4,4,4,2,0,1,2,0,0,12,1,0,22,22
KA_ACT_1959,15,278,10,44.7,145.0,398.7,9333,6,27,109,116,11,9,12,9,28,0,0,8,7,0,273,0,0,293,293
MH_ACT_1960,15,120,1,42.0,165.5,1214.1,4941,3,14,37,34,13,19,6,19,26,3,0,86,1,0,134,0,0,135,135
MH_RULES_1961,7,180,5,48.9,206.0,733.9,5770,7,12,54,66,27,14,10,14,44,4,0,4,20,0,67,0,0,187,187
PACS_MODEL_BYLAWS,6,55,17,25.4,74,290.0,841,2,19,17,14,3,0,4,1,0,0,0,1,0,0,60,0,0,61,61
PACS_COMPUTERIZATION,5,58,3,15.7,59.5,237.3,502,10,12,25,10,1,0,14,0,28,6,0,20,0,0,53,0,12,63,63
PMFBY_2023,79,865,3,23.0,60,175.0,2475,50,315,389,89,17,5,109,6,184,50,2,274,0,0,922,0,459,944,944
CRCS_OMBUDSMAN,1,5,30,36.8,47,128.6,157,0,3,1,1,0,0,1,0,1,0,0,2,0,0,6,1,0,6,6
