chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_ACT_2002_DOC,MSCS_ACT_2002,parent,6,6,77,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT,"The Multi-State Cooperative Societies Act, 2002"
MSCS_ACT_2002_SEC_3_SUB_A,MSCS_ACT_2002,child,15,7,7,3,,a,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,"(a) “area of operation” means the area from which the persons are

admitted as members;"
MSCS_ACT_2002_SEC_3_SUB_E,MSCS_ACT_2002,child,16,7,7,3,,e,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,"(e) “Chief Executive” means a Chief Executive of a multi-state

cooperative society appointed under section 51;"
MSCS_ACT_2002_SEC_3_SUB_F,MSCS_ACT_2002,child,12,7,7,3,,f,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,(f) “cooperative bank” means a multi-state cooperative society which undertakes banking business;
MSCS_ACT_2002_SEC_3_SUB_G,MSCS_ACT_2002,child,12,7,7,3,,g,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,"(g) “cooperative principles” means the cooperative principles

specified in the First Schedule;"
MSCS_ACT_2002_SEC_3_SUB_R,MSCS_ACT_2002,child,14,8,8,3,,r,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,(r) “national cooperative society” means a multi-state cooperative society specified in the Second Schedule;
MSCS_ACT_2002_SEC_3_SUB_S,MSCS_ACT_2002,child,10,8,8,3,,s,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,(s) “notification” means a notification published in the Official Gazette;
MSCS_ACT_2002_SEC_3_SUB_U,MSCS_ACT_2002,child,6,8,8,3,,u,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,(u) “prescribed” means prescribed by rules;
MSCS_ACT_2002_SEC_3_SUB_W,MSCS_ACT_2002,child,9,8,8,3,,w,Definitions,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,(w) “rules” means the rules made under this Act.
MSCS_ACT_2002_SEC_124_SUB_1,MSCS_ACT_2002,child,17,72,72,124,,,Power to make rules,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT,"(1) The Central Government may, by notification, make rules to carry

out the provisions of this Act."
MSCS_AMD_2023_DOC,MSCS_AMD_2023,parent,4,1,23,,,,,CONTEXT_PARENT;DUPLICATE_TEXT;SHORT_CONTEXT_PARENT,DUPLICATE_TEXT,INFO,B_SHORT,रजिस्ट्री सं. डी.एल.- 33004/99
MSCS_RULES_2002_DOC,MSCS_RULES_2002,parent,12,4,54,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT,society against which or any person against whom a decree has been
MSCS_RULES_2002_FORM_IV,MSCS_RULES_2002,child,18,52,53,,,,FORM IV,SHORT_CHUNK,,INFO,B_SHORT,"FORM IV [See sub-paragraph (3) of paragraph 7 of the Schedule]

Nomination form for election of office bearers"
MSCS_RULES_AMD_2023_DOC,MSCS_RULES_AMD_2023,parent,4,1,49,,,,,CONTEXT_PARENT;DUPLICATE_TEXT;SHORT_CONTEXT_PARENT,DUPLICATE_TEXT,INFO,B_SHORT,रजिस्ट्री सं. डी.एल.- 33004/99
MSCS_RULES_AMD_2023_ITEM_11,MSCS_RULES_AMD_2023,child,10,19,19,,,,,SHORT_CHUNK,,INFO,B_SHORT,11. मूल जनयमों में अनुसूची का लोप दकया िाएगा ।
MSCS_RULES_AMD_2023_ITEM_4_002,MSCS_RULES_AMD_2023,parent,15,28,36,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT,"4. In the principal rules, for rule 19, the following rules shall be substituted, namely:—"
MSCS_RULES_AMD_2023_ITEM_10_002,MSCS_RULES_AMD_2023,parent,15,40,42,,,,,CONTEXT_PARENT;MALFORMED_NUMBERING_HIERARCHY;SHORT_CONTEXT_PARENT,,INFO,B_SHORT,"10. In the principal rules, after rule 37, the following rules shall be inserted namely:—"
