chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
PMFBY_2023_ANNEXURE_V,PMFBY_2023,parent,8736,186,210,,,,ANNEXURE- V,CONTEXT_PARENT;LONG_CHUNK_NO_SAFE_SPLIT;TABLE_REVIEW,,INFO,A_LONG;F_TABLE;C_TOP20_LONG,"ANNEXURE- V

Illustration of Modalities of Claim Settlement under Multiple Events of similar or

different Perils at same land-parcel & Crop under PMFBY

Scenarios | | | Clarifications/Remarks |
1. Cl"
MSCS_RULES_AMD_2023_ITEM_4,MSCS_RULES_AMD_2023,child,7390,2,12,,,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG;C_TOP20_LONG,"4. मूल जनयम में, जनयम 19 के स्ट् थान पर, जनम् नजलजखत जनयम रखा िाएगा,अथाातम: -

“19. चयन सजमजत की संरचना - (1) प्राजधकरण के सभापजत, उपसभापजत और उसके प्रत् येक सिस्ट् य की जनयुजि एक चयन सजमजत की जसफाररि"
MSCS_RULES_2002_RULE_36,MSCS_RULES_2002,child,6103,23,37,,36,,Mode of service of summon,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"Chapter 9 Miscellaneous

36. Mode of service of summon

(1) Every summon issued under the Act or these rules shall be in writing, shall be authenticated by the sea, if any, of the officer by whom it i"
MH_RULES_1961_RULE_107,MH_RULES_1961,child,5770,87,95,,107,,1 [Procedure for attachment and sale of property under Section 156.]:,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"Chapter XII

Miscellaneous

107.1 [Procedure for attachment and sale of property under Section 156.]:-

1[(l) A creditor holding a decree requiring the provisions of Section 156 to be applied, or soci"
MH_ACT_1960_SEC_56Z,MH_ACT_1960,child,5644,152,161,56Z,,,Ballot Box,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"56Z. Ballot Box —

Every ballot box shall be of such design as may be approved by the Chief Election Officer.

56A-1. Form of ballot paper.—

Every ballot paper shall be in Form M-10 and the names of "
MSCS_RULES_2002_SCHEDULE_027,MSCS_RULES_2002,child,4087,37,46,,,,SCHEDULE,LONG_CHUNK_NO_SAFE_SPLIT;MULTIPLE_FORMS_REVIEW,,INFO,A_LONG;C_TOP20_LONG,"SCHEDULE

1. Procedure for the conduct of election to the board of Multi-State Co-operative Societies

(a) The board of Directors in office shall meet, at least, sixty clear days in advance of the dat"
MH_ACT_1960_SEC_165_SUB_2,MH_ACT_1960,child,2756,103,108,165,,,Rules,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG;C_TOP20_LONG,"(2) In particular, and without prejudice to the generality of the foregoing power, such rules may-

(i) subject to the provisions of section, prescribe the designation of officers who shall exercise p"
KA_ACT_1959_CONTEXT_120,KA_ACT_1959,child,2483,104,109,,,,,LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"CHAPTER VIII

AUDIT, INQUIRY, INSPECTION AND SURCHARGE.

1 [63 Audit.- (1) Every Cooperative society shall get its accounts audited at least

once in a year before the first of September following the"
PMFBY_2023_SEC_16_4,PMFBY_2023,child,2475,52,57,16.4,,,Seasonality Discipline,LONG_CHUNK_NO_SAFE_SPLIT;TABLE_REVIEW,,INFO,A_LONG;F_TABLE;C_TOP20_LONG,"16.4 The broad indicative seasonality discipline is given in the Table 2 below:

Action to

S. No.

Activity

Kharif

Rabi

be taken by

Nodal

Conduct of SLCCCI meeting to take decision

15th Novembe"
KA_ACT_1959_SEC_28A,KA_ACT_1959,child,2235,64,70,28A,,,Management of co-operative societies vest in the *board*,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"[28A. Management of co-operative societies vest in the *board*.-

(1) The

management of a co-operative society shall vest in a *board* constituted in accordance with

this Act, the rules and the bye-"
