chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
KA_ACT_1959_BACKGROUND_XXV,KA_ACT_1959,parent,1,25,30,,,,XXV,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,XXV
MH_ACT_1960_DOC,MH_ACT_1960,parent,1,1,203,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,THE
MH_ACT_1960_SEC_165,MH_ACT_1960,parent,2,103,108,165,,,Rules,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,165. Rules.—
MH_RULES_1961_DOC,MH_RULES_1961,parent,2,1,145,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,Chapter I
PACS_MODEL_BYLAWS_DOC,PACS_MODEL_BYLAWS,parent,2,3,37,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,CHAPTER I
PACS_COMPUTERIZATION_SEC_5,PACS_COMPUTERIZATION,parent,2,18,22,5,,,Stakeholders,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,5 Stakeholders
PMFBY_2023_SEC_4_002,PMFBY_2023,parent,2,171,171,4,,,Proxy-Indicators:,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,4. Proxy-Indicators:
PACS_COMPUTERIZATION_DOC,PACS_COMPUTERIZATION,parent,3,1,26,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,Government of India
PACS_COMPUTERIZATION_SEC_3,PACS_COMPUTERIZATION,parent,3,4,15,3,,,Project Details,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,3 Project Details
PACS_COMPUTERIZATION_SEC_3_7,PACS_COMPUTERIZATION,parent,3,5,5,3.7,,,Project Details,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,3.7 Implementation Mechanism
PACS_COMPUTERIZATION_SEC_4_1,PACS_COMPUTERIZATION,child,3,16,16,4.1,,,Project Monitoring Units (PMUs)/Support Teams,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT;D_TOP20_SHORT,4.1 Central PMU:
PACS_COMPUTERIZATION_SEC_4_2,PACS_COMPUTERIZATION,child,3,17,17,4.2,,,Project Monitoring Units (PMUs)/Support Teams,SHORT_COMPLETE_PROVISION,,INFO,B_SHORT;D_TOP20_SHORT,4.2 State PMUs:
PMFBY_2023_SEC_16,PMFBY_2023,parent,3,51,59,16,,,Seasonality Discipline,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,16. Seasonality Discipline
PMFBY_2023_SEC_17_6,PMFBY_2023,parent,3,60,64,17.6,,,Collection of Applications and Premium from Farmers,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,17.6 Loanee Farmers:
PMFBY_2023_SEC_16_14_002,PMFBY_2023,child,3,76,76,16.14,,,,SHORT_COMPLETE_PROVISION;STRUCTURE_UNCERTAIN,,INFO,B_SHORT;E_STRUCTURE;D_TOP20_SHORT,16.14 & 16.15.
PMFBY_2023_SEC_21_5,PMFBY_2023,parent,3,102,109,21.5,,,Assessment of Claims & Claim Settlement,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,21.5 Localized Calamity
PMFBY_2023_SEC_21_6,PMFBY_2023,parent,3,111,117,21.6,,,Assessment of Claims & Claim Settlement,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,21.6 Post-Harvest Losses
PMFBY_2023_SEC_22_1,PMFBY_2023,parent,3,121,122,22.1,,,Participation of Loss Assessors/Evaluators for Loss Assessment,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,22.1 Empanelment Criteria
PMFBY_2023_SEC_25,PMFBY_2023,parent,3,126,128,25,,,Acreage Discrepancy,SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,25 Acreage Discrepancy
PMFBY_2023_SEC_31_1,PMFBY_2023,parent,3,138,139,31.1,,,Empanelment and Selection of Insurance Companies (ICs),SHORT_CONTEXT_PARENT,,INFO,B_SHORT;D_TOP20_SHORT,31.1 Empanelment Criteria
