chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_RULES_2002_FORM_I,MSCS_RULES_2002,child,375,46,49,,,,FORM – I,TABLE_REVIEW,,INFO,F_TABLE,"FORM – I

Headquarters and address to be registered;

The Central Registrar of Cooperative Societies,

Area of operations; Main objectives; Act,2002;

:

indicated below :

(g) (h)

(d)

(b)

(e) (f)
"
MSCS_RULES_2002_FORM_II,MSCS_RULES_2002,child,76,49,50,,,,FORM – II,TABLE_REVIEW,,INFO,F_TABLE,"FORM – II

Registration

(7)

(10)

Name of the proposed multi-state co-operative society

called

No. and date of the report, if any sent to the Central

Government, if the society is not registered,"
MH_ACT_1960_CONTEXT_001,MH_ACT_1960,child,291,1,1,,,,,SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN;TABLE_REVIEW,MISSING_STRUCTURAL_ID,REVIEW,E_STRUCTURE;F_TABLE,"THE MAHARASHTRA CO-OPERATIVE SOCIETIES

ACT, 1960

(Maharashtra Act No XXIV of 1961)

{Received the assent of the President on the 4th day of May 1961:

Assent first published in the Maharashtra Gover"
MH_ACT_1960_SEC_107_A,MH_ACT_1960,parent,95,199,201,107-A,,,Maximum rates of traveling allowance and daily allowance and sitting fees etc. for,CONTEXT_PARENT;TABLE_REVIEW,,INFO,F_TABLE,"107-A. Maximum rates of traveling allowance and daily allowance and sitting fees etc. for members of Committees —

Subject to the provision of section 160-A, no member of a Committee of any Society sh"
MH_ACT_1960_SEC_107_A_SUB_1,MH_ACT_1960,child,354,199,199,107-A,,,Maximum rates of traveling allowance and daily allowance and sitting fees etc. for,TABLE_REVIEW,,INFO,F_TABLE,"(1) Traveling Allowance.—

(a) Journey by Air.—

The Chairman or vice-Chairman of a Society which is an Apex Society or a State Level Society or a Cooperative Sugar Factory or a Co-operative Spinning "
MH_ACT_1960_SEC_107_A_SUB_2,MH_ACT_1960,child,583,200,201,107-A,,,Maximum rates of traveling allowance and daily allowance and sitting fees etc. for,TABLE_REVIEW,,INFO,F_TABLE,"(2) Daily Allowance.—

(a) (I) Rates of daily allowance admissible while on tour.—

Subject to the provisions of clause (b), a member of a Committee of a class of Society shown in column (1) of the Ta"
MH_ACT_1960_SEC_107_A_SUB_3,MH_ACT_1960,child,202,201,201,107-A,,,Maximum rates of traveling allowance and daily allowance and sitting fees etc. for,TABLE_REVIEW,,INFO,F_TABLE,"(3) Sitting Fees.—

A member of a Committee of class of Society shown in column (1) of the Table hereto shall be entitled to claim per meeting sitting fee at the rate shown against it in column (2) of"
MH_ACT_1960_SEC_107_B,MH_ACT_1960,child,167,201,201,107-B,,,"Security to be furnished by officers and employees of societies handling cash, etc",TABLE_REVIEW,,INFO,F_TABLE,"107-B. Security to be furnished by officers and employees of societies handling cash, etc.—

Every officer or employees of a society who is required to handle cash securities or property belonging to "
MH_RULES_1961_RULE_107A,MH_RULES_1961,child,1548,95,99,,107A,,Maximum rates of travelling allowance and daily allowance and,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,,INFO,A_LONG;E_STRUCTURE;F_TABLE;C_TOP20_LONG,"1[ 107A. Maximum rates of travelling allowance and daily allowance and sitting fees, etc for members of Committees:- Subject to the provisions of section 160-A, no member of a committee of any society"
MH_RULES_1961_FORM_M_13,MH_RULES_1961,child,67,128,128,,,,Form M-13,TABLE_REVIEW,,INFO,F_TABLE,"Form M-13 [See Rule 56A-11(2))

List of Blind and Infirm voters

Election to the ................................ Co-operative Society Ltd .......................,

(name of society)

Tahsil ........."
MH_RULES_1961_FORM_M_14,MH_RULES_1961,child,103,128,129,,,,Form M-14,TABLE_REVIEW,,INFO,F_TABLE,"Form M-14 [See Rule 56A-13(2)1

Tendered Voters List

Election to the ................................ Co-operative Society Ltd.,......................

(name of society)

Tahsil ....................."
MH_RULES_1961_FORM_N_002,MH_RULES_1961,child,263,139,139,,,,FORM ‘N',TABLE_REVIEW,,INFO,F_TABLE,"FORM ‘N' Profit and Loss Account

Last

Lost

This

This

year's

year's

year's

Income

Expenditure year's

figures

figures

figures

Rs. nP.

Rs. nP.

Rs. nP.

Interest Received :

. ... (I)

Inte"
PACS_COMPUTERIZATION_SEC_3_8_1,PACS_COMPUTERIZATION,child,64,7,7,3.8.1,,,"Project Cost, Sources of Funds & Funding Pattern",TABLE_REVIEW,,INFO,F_TABLE,"3.8.1 Project Cost:

The total cost of the project is estimated at ₹2516.00 crore to be shared as under:

Agency Cost share (₹ Crore)

Government of India (60.73%)

1528

State Govt. (29.25%)

736

NA"
PACS_COMPUTERIZATION_SEC_3_8_2,PACS_COMPUTERIZATION,child,133,7,8,3.8.2,,,"Project Cost, Sources of Funds & Funding Pattern",TABLE_REVIEW,,INFO,F_TABLE,"3.8.2 Component wise Cost Sharing Pattern:

Component Cost Sharing pattern

Comprehensive software To be shared by GoI and NABARD. NABARD will

Component Cost Sharing pattern

(including cyber securit"
PACS_COMPUTERIZATION_SEC_023,PACS_COMPUTERIZATION,child,83,8,8,,,,₹ per PACS,TABLE_REVIEW,,INFO,F_TABLE,"Amount in

SN

Item

₹ per PACS

A

Per PACS project cost

Hardware –Computer, Multi-functional Devices (MFD),

UPS, webcam, bio-metric scanner, external HDD,

(i) including 5 years of AMC for hardwar"
PACS_COMPUTERIZATION_SEC_024,PACS_COMPUTERIZATION,child,72,9,9,,,,₹ per PACS,TABLE_REVIEW,,INFO,F_TABLE,"Amount in

SN

Item

₹ per PACS

(iii) Training

10,198/-

a. Implementation Services including data preparation,

digitization, verification till final reconciliation and

porting into the ERP soluti"
