chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
KA_ACT_1959_DOC,KA_ACT_1959,parent,REFERENCE_ONLY,act,Karnataka,7,37,9,189,,,,,,,state_law,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
KA_ACT_1959_CONTEXT_001,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,87,569,9,9,,,,,,,byelaws;state_law,STRUCTURE_UNCERTAIN
KA_ACT_1959_BACKGROUND_002,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,5,32,9,9,,,,,,STATEMENT OF OBJECTS AND REASONS,state_law,SHORT_CHUNK
KA_ACT_1959_BACKGROUND_I,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,408,2730,9,10,,,,,,I,management;state_law,
KA_ACT_1959_BACKGROUND_II,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,120,745,10,10,,,,,,II,loans;state_law,
KA_ACT_1959_BACKGROUND_III,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,34,222,10,10,,,,,,III,state_law,
KA_ACT_1959_BACKGROUND_IV,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,315,1886,10,11,,,,,,IV,state_law,
KA_ACT_1959_BACKGROUND_V,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,427,2681,11,12,,,,,,V,meetings;registrar;state_law,
KA_ACT_1959_BACKGROUND_VI,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,247,1577,12,13,,,,,,VI,registrar;state_law,
KA_ACT_1959_BACKGROUND_VII,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,38,241,13,13,,,,,,VII,state_law,
KA_ACT_1959_BACKGROUND_VIII,KA_ACT_1959,parent,REFERENCE_ONLY,act,Karnataka,696,4432,13,14,,,,,,VIII,deposits;elections;governance;loans;management;membership;state_law,
KA_ACT_1959_BACKGROUND_VIII_SUB_1,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,604,3868,13,14,,,,,,VIII,deposits;elections;governance;loans;management;membership;state_law,
KA_ACT_1959_BACKGROUND_VIII_SUB_2,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,92,562,14,14,,,,,,VIII,state_law,
KA_ACT_1959_BACKGROUND_IX,KA_ACT_1959,parent,REFERENCE_ONLY,act,Karnataka,838,5519,14,17,,,,,,IX,appeal;management;state_law,
KA_ACT_1959_BACKGROUND_IX_SUB_1,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,556,3624,14,16,,,,,,IX,appeal;management;state_law,
KA_ACT_1959_BACKGROUND_IX_SUB_2,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,282,1893,16,17,,,,,,IX,appeal;management;state_law,
KA_ACT_1959_BACKGROUND_XI,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,217,1371,17,17,,,,,,XI,elections;meetings;state_law,
KA_ACT_1959_BACKGROUND_XII,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,307,1986,17,18,,,,,,XII,state_law,
KA_ACT_1959_BACKGROUND_XIII,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,138,931,18,18,,,,,,XIII,state_law,
KA_ACT_1959_BACKGROUND_XIV,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,154,1006,18,19,,,,,,XIV,registrar;state_law,
KA_ACT_1959_BACKGROUND_XV,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,184,1158,19,19,,,,,,XV,state_law,
KA_ACT_1959_BACKGROUND_XVI,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,158,993,19,20,,,,,,XVI,state_law,
KA_ACT_1959_BACKGROUND_XVII,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,124,802,20,20,,,,,,XVII,state_law,
KA_ACT_1959_BACKGROUND_XVIII,KA_ACT_1959,child,REFERENCE_ONLY,act,Karnataka,70,444,20,20,,,,,,XVIII,state_law,
