chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MH_ACT_1960_DOC,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,1,3,1,203,,,,,,,state_law,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
MH_ACT_1960_CONTEXT_001,MH_ACT_1960,child,ACTIVE,act,Maharashtra,291,1766,1,1,,,,,,,state_law,SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN;TABLE_REVIEW
MH_ACT_1960_CONTEXT_002,MH_ACT_1960,child,ACTIVE,act,Maharashtra,1367,8222,2,4,,,,,,,byelaws;governance;loans;management;meetings;membership;registrar;registration;state_law,LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN
MH_ACT_1960_SEC_3,MH_ACT_1960,child,ACTIVE,act,Maharashtra,139,822,5,5,3,,,,,Registrar and his subordinates,registrar;registration;state_law,
MH_ACT_1960_SEC_3A,MH_ACT_1960,child,ACTIVE,act,Maharashtra,165,947,5,5,3A,,,,,Temporary vacancies,registrar;state_law,
MH_ACT_1960_SEC_4,MH_ACT_1960,child,ACTIVE,act,Maharashtra,108,658,5,5,4,,,,,Societies which may be registered:,registration;state_law,
MH_ACT_1960_SEC_5,MH_ACT_1960,child,ACTIVE,act,Maharashtra,17,119,5,5,5,,,,,Registration with limited or unlimited liability:,registration;state_law,SHORT_COMPLETE_PROVISION
MH_ACT_1960_SEC_6,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,593,3392,5,6,6,,,,,Conditions of registration:,registrar;registration;state_law,
MH_ACT_1960_SEC_6_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,114,646,5,5,6,1,,,,Conditions of registration:,registrar;registration;state_law,
MH_ACT_1960_SEC_6_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,372,2112,5,6,6,2,,,,Conditions of registration:,registrar;registration;state_law,
MH_ACT_1960_SEC_6_SUB_3,MH_ACT_1960,child,ACTIVE,act,Maharashtra,17,96,6,6,6,3,,,,Conditions of registration:,registration;state_law,SHORT_COMPLETE_PROVISION
MH_ACT_1960_SEC_6_SUB_4,MH_ACT_1960,child,ACTIVE,act,Maharashtra,22,123,6,6,6,4,,,,Conditions of registration:,registration;state_law,
MH_ACT_1960_SEC_6_SUB_5,MH_ACT_1960,child,ACTIVE,act,Maharashtra,64,374,6,6,6,5,,,,Conditions of registration:,registration;state_law,
MH_ACT_1960_SEC_7,MH_ACT_1960,child,ACTIVE,act,Maharashtra,56,343,6,6,7,,,,,Power to exempt societies or class of societies from conditions as to registration:,registration;state_law,
MH_ACT_1960_SEC_8,MH_ACT_1960,child,ACTIVE,act,Maharashtra,212,1239,6,6,8,,,,,Application for registration,byelaws;registrar;registration;state_law,
MH_ACT_1960_SEC_9,MH_ACT_1960,child,ACTIVE,act,Maharashtra,277,1612,7,7,9,,,,,Registration,byelaws;registrar;registration;state_law;timeline,
MH_ACT_1960_SEC_10,MH_ACT_1960,child,ACTIVE,act,Maharashtra,37,248,7,7,10,,,,,Evidence of registration,registrar;registration;state_law,
MH_ACT_1960_SEC_11,MH_ACT_1960,child,ACTIVE,act,Maharashtra,120,681,7,7,11,,,,,Power of Registrar to decide certain questions,registrar;state_law,
MH_ACT_1960_SEC_12,MH_ACT_1960,child,ACTIVE,act,Maharashtra,133,771,7,7,12,,,,,Classification of societies,registrar;state_law,
MH_ACT_1960_SEC_13,MH_ACT_1960,child,ACTIVE,act,Maharashtra,339,1953,7,8,13,,,,,Amendment of bye-laws of society,byelaws;meetings;registrar;registration;state_law;timeline,
MH_ACT_1960_SEC_14,MH_ACT_1960,child,ACTIVE,act,Maharashtra,155,894,8,8,14,,,,,Power to direct amendment of bye-laws,appeal;byelaws;registrar;registration;state_law,
MH_ACT_1960_SEC_15,MH_ACT_1960,child,ACTIVE,act,Maharashtra,104,598,8,8,15,,,,,Change of name,meetings;registrar;registration;state_law,
MH_ACT_1960_SEC_16,MH_ACT_1960,child,ACTIVE,act,Maharashtra,202,1165,8,9,16,,,,,Change of liability,byelaws;deposits;loans;state_law,
MH_ACT_1960_SEC_17,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,520,3190,9,9,17,,,,,"Amalgamation, transfer, division or conversion of societies",meetings;membership;registrar;registration;state_law,
MH_ACT_1960_SEC_17_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,284,1706,9,9,17,1,,,,"Amalgamation, transfer, division or conversion of societies",meetings;membership;registrar;state_law,
MH_ACT_1960_SEC_17_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,91,565,9,9,17,2,,,,"Amalgamation, transfer, division or conversion of societies",registration;state_law,
MH_ACT_1960_SEC_17_SUB_3,MH_ACT_1960,child,ACTIVE,act,Maharashtra,85,531,9,9,17,3,,,,"Amalgamation, transfer, division or conversion of societies",state_law,
MH_ACT_1960_SEC_17_SUB_4,MH_ACT_1960,child,ACTIVE,act,Maharashtra,52,315,9,9,17,4,,,,"Amalgamation, transfer, division or conversion of societies",registration;state_law,
MH_ACT_1960_SEC_18,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,451,2739,9,10,18,,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",management;pacs;registrar;state_law,
MH_ACT_1960_SEC_18_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,135,855,9,10,18,1,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",management;registrar;state_law,
MH_ACT_1960_SEC_18_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,119,643,10,10,18,2,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",registrar;state_law,
MH_ACT_1960_SEC_18_SUB_3,MH_ACT_1960,child,ACTIVE,act,Maharashtra,36,237,10,10,18,3,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",registrar;state_law,
MH_ACT_1960_SEC_18_SUB_4,MH_ACT_1960,child,ACTIVE,act,Maharashtra,74,436,10,10,18,4,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",state_law,
MH_ACT_1960_SEC_18_SUB_5,MH_ACT_1960,child,ACTIVE,act,Maharashtra,50,310,10,10,18,5,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",state_law,
MH_ACT_1960_SEC_18_SUB_6,MH_ACT_1960,child,ACTIVE,act,Maharashtra,25,159,10,10,18,6,,,,"Power to direct amalgamation, division and reorganization in public interest, etc:",pacs;state_law,
MH_ACT_1960_SEC_18_A,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,563,3391,10,11,18-A,,,,,Amalgamation of Co-operative Banks,management;registrar;registration;state_law,
MH_ACT_1960_SEC_18_A_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,200,1224,10,10,18-A,1,,,,Amalgamation of Co-operative Banks,management;registrar;state_law,
MH_ACT_1960_SEC_18_A_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,108,603,10,10,18-A,2,,,,Amalgamation of Co-operative Banks,registrar;state_law,
MH_ACT_1960_SEC_18_A_SUB_3,MH_ACT_1960,child,ACTIVE,act,Maharashtra,74,432,11,11,18-A,3,,,,Amalgamation of Co-operative Banks,state_law,
MH_ACT_1960_SEC_18_A_SUB_4,MH_ACT_1960,child,ACTIVE,act,Maharashtra,44,284,11,11,18-A,4,,,,Amalgamation of Co-operative Banks,registration;state_law,
MH_ACT_1960_SEC_18_A_SUB_5,MH_ACT_1960,child,ACTIVE,act,Maharashtra,55,344,11,11,18-A,5,,,,Amalgamation of Co-operative Banks,state_law,
MH_ACT_1960_SEC_18_A_SUB_6,MH_ACT_1960,child,ACTIVE,act,Maharashtra,52,313,11,11,18-A,6,,,,Amalgamation of Co-operative Banks,registration;state_law,
MH_ACT_1960_SEC_18_A_SUB_7,MH_ACT_1960,child,ACTIVE,act,Maharashtra,25,135,11,11,18-A,7,,,,Amalgamation of Co-operative Banks,registrar;state_law,
MH_ACT_1960_SEC_18_B,MH_ACT_1960,child,ACTIVE,act,Maharashtra,439,2656,11,12,18-B,,,,,Amalgamation of primary agricultural credit societies,management;pacs;registrar;state_law,
MH_ACT_1960_SEC_18_C,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,833,4909,12,13,18-C,,,,,Reorganization of societies on account of alteration of limits of local areas in which they,byelaws;management;registration;state_law,
MH_ACT_1960_SEC_18_C_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,171,996,12,12,18-C,1,,,,Reorganization of societies on account of alteration of limits of local areas in which they,state_law,
MH_ACT_1960_SEC_18_C_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,529,3102,12,13,18-C,2,,,,Reorganization of societies on account of alteration of limits of local areas in which they,byelaws;management;state_law,
