chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MH_RULES_1961_DOC,MH_RULES_1961,parent,REFERENCE_ONLY,rules,Maharashtra,2,9,1,145,,,,,,,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
MH_RULES_1961_RULE_1,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,30,188,1,1,,,1,,,Short title and extent:- These rules may be called the Maharashtra Co,state_law,
MH_RULES_1961_RULE_2,MH_RULES_1961,parent,REFERENCE_ONLY,rules,Maharashtra,288,1729,1,1,,,2,,,"Definitions:- In these rules, unless the context otherwise, requires",registrar;state_law,
MH_RULES_1961_RULE_2_SUB_A,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,9,65,1,1,,,2,,a,"Definitions:- In these rules, unless the context otherwise, requires",state_law,SHORT_COMPLETE_PROVISION
MH_RULES_1961_RULE_2_SUB_B,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,29,186,1,1,,,2,,b,"Definitions:- In these rules, unless the context otherwise, requires",,
MH_RULES_1961_RULE_2_SUB_C,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,47,250,1,1,,,2,,c,"Definitions:- In these rules, unless the context otherwise, requires",registrar,
MH_RULES_1961_RULE_2_SUB_D,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,24,136,1,1,,,2,,d,"Definitions:- In these rules, unless the context otherwise, requires",,
MH_RULES_1961_RULE_2_SUB_E,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,9,54,1,1,,,2,,e,"Definitions:- In these rules, unless the context otherwise, requires",,SHORT_COMPLETE_PROVISION
MH_RULES_1961_RULE_2_SUB_F,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,9,48,1,1,,,2,,f,"Definitions:- In these rules, unless the context otherwise, requires",,SHORT_COMPLETE_PROVISION
MH_RULES_1961_RULE_2_SUB_G,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,72,432,1,1,,,2,,g,"Definitions:- In these rules, unless the context otherwise, requires",,
MH_RULES_1961_RULE_2_SUB_H,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,20,125,1,1,,,2,,h,"Definitions:- In these rules, unless the context otherwise, requires",registrar,
MH_RULES_1961_RULE_2_SUB_I,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,16,97,1,1,,,2,,i,"Definitions:- In these rules, unless the context otherwise, requires",,SHORT_COMPLETE_PROVISION
MH_RULES_1961_RULE_2_SUB_J,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,34,199,1,1,,,2,,j,"Definitions:- In these rules, unless the context otherwise, requires",registrar,
MH_RULES_1961_RULE_2_SUB_K,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,8,41,1,1,,,2,,k,"Definitions:- In these rules, unless the context otherwise, requires",,SHORT_COMPLETE_PROVISION
MH_RULES_1961_RULE_4,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,856,5369,1,5,,,4,,,Application for registration and registration fees:- (I) Every application for,byelaws;documents;registrar;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_8,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,760,4499,5,6,,,8,,,Matters in respect of which Registrar may direct society to make bye-laws,byelaws;documents;elections;loans;management;meetings;membership;registrar,
MH_RULES_1961_RULE_10,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,615,3972,6,9,,,10,,,Classification and sub-classification of societies:- (1) After registration of a,byelaws;loans;registrar;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_12,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,324,1856,9,10,,,12,,,"Amendment of bye-laws:-(1) Subject to the provisions of this rule, bye",byelaws;meetings;registrar,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_13,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,1001,5698,10,11,,,13,,,Manner of calling upon society to make amendment to bye-laws:- (1),byelaws;deposits;meetings;registrar;registration;timeline,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_16,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,564,3493,11,12,,,16,,,"Amalgamation, transfer of assets and liabilities, division or conversion",meetings;registrar;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_17,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,721,4306,12,13,,,17,,,"Direction by Registrar for amalgamation, division and reorganisation of",registrar,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_18A,MH_RULES_1961,parent,REFERENCE_ONLY,rules,Maharashtra,18,130,14,16,,,18A,,,Conditions for realising the assets and liquidating the liabilities of the,,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
MH_RULES_1961_RULE_18A_SUB_1,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,1303,7838,14,16,,,18A,1,,Conditions for realising the assets and liquidating the liabilities of the,deposits;documents;loans;meetings;registrar;registration,LONG_CHUNK_NO_SAFE_SPLIT
MH_RULES_1961_RULE_18A_SUB_15,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,92,549,16,16,,,18A,15,,Conditions for realising the assets and liquidating the liabilities of the,registrar;timeline,
MH_RULES_1961_RULE_18B,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,116,723,16,17,,,18B,,,Purposes for investment of surplus by the Registrar:- (1),registrar,
MH_RULES_1961_RULE_118C,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,311,1817,17,17,,,118C,,,Manner of issue of public notice of the proceedings of de-registration,registrar;registration,
MH_RULES_1961_RULE_19,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,211,1213,17,18,,,19,,,"Conditions to be complied with for admission for membership, etc:- No",membership;registrar;registration,MALFORMED_NUMBERING_HIERARCHY
MH_RULES_1961_RULE_119A,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,231,1356,18,18,,,119A,,,Procedure for tendering application to the Registrar for membership,eligibility;membership;registrar;timeline,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_20,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,153,917,18,18,,,20,,,Procedure for admission of joint members and minor and persons of,,MALFORMED_NUMBERING_HIERARCHY;STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_21,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,262,1469,18,19,,,21,,,Withdrawal of Membership:,membership,
MH_RULES_1961_RULE_22,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,323,2005,19,19,,,22,,,Voting rights of individual members in a Federal Society:- (1)In the case,elections;governance;meetings;membership;registrar;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_23,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,611,3507,19,20,,,23,,,Valuation of shares:,documents;membership;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_27,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,327,1878,20,21,,,27,,,Supply of copies of documents by societies and fees therefore:- (1) A,deposits;documents;membership,STRUCTURE_UNCERTAIN
