chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MSCS_RULES_AMD_2023_DOC,MSCS_RULES_AMD_2023,parent,REFERENCE_ONLY,amendment_rules,Central,4,30,1,49,,,,,,,multistate,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
MSCS_RULES_AMD_2023_CONTEXT_001,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,342,2053,1,2,,,,,,,multistate,STRUCTURE_UNCERTAIN
MSCS_RULES_AMD_2023_ITEM_3,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,320,1724,2,2,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_4,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,7390,36754,2,12,,,,,,,multistate,LONG_CHUNK_NO_SAFE_SPLIT
MSCS_RULES_AMD_2023_ITEM_5,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,308,1596,12,13,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_6,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,512,2731,13,14,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_7,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,1497,7491,14,16,,,,,,,multistate,LONG_CHUNK_NO_SAFE_SPLIT
MSCS_RULES_AMD_2023_ITEM_8,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,164,791,16,17,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_9,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,336,1722,17,17,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_10,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,1122,5994,17,19,,,,,,,multistate,LONG_CHUNK_NO_SAFE_SPLIT
MSCS_RULES_AMD_2023_ITEM_11,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,10,46,19,19,,,,,,,multistate,SHORT_CHUNK
MSCS_RULES_AMD_2023_ITEM_12,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,285,1855,19,20,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_13,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,97,641,20,20,,,,,,,multistate,
MSCS_RULES_AMD_2023_ITEM_14,MSCS_RULES_AMD_2023,child,ACTIVE,amendment_rules,Central,2110,12168,20,27,,,,,,,multistate,LONG_CHUNK_NO_SAFE_SPLIT
