chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
PACS_MODEL_BYLAWS_DOC,PACS_MODEL_BYLAWS,parent,REFERENCE_ONLY,model_byelaws,Central,2,9,3,37,,,,,,,byelaws;pacs,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
PACS_MODEL_BYLAWS_CLAUSE_1,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,18,143,3,3,,,,,1,NAME,byelaws;pacs,SHORT_COMPLETE_PROVISION
PACS_MODEL_BYLAWS_CLAUSE_2,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,17,101,3,3,,,,,2,ADDRESS,byelaws;pacs,SHORT_COMPLETE_PROVISION
PACS_MODEL_BYLAWS_CLAUSE_3,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,31,191,3,3,,,,,3,AREA OF OPERATION,byelaws;pacs,
PACS_MODEL_BYLAWS_CLAUSE_4,PACS_MODEL_BYLAWS,parent,REFERENCE_ONLY,model_byelaws,Central,841,5438,3,6,,,,,4,DEFINITIONS:,byelaws;governance;management;membership;pacs;registrar;registration,
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_1,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,13,85,3,3,,,,,4,DEFINITIONS:,byelaws;pacs,SHORT_COMPLETE_PROVISION
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_2,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,7,58,3,3,,,,,4,DEFINITIONS:,byelaws;pacs,SHORT_COMPLETE_PROVISION
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_3,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,28,179,3,3,,,,,4,DEFINITIONS:,byelaws;membership;pacs,
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_4,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,39,237,3,3,,,,,4,DEFINITIONS:,byelaws;governance;management;pacs,
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_5,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,7,45,3,3,,,,,4,DEFINITIONS:,byelaws;pacs,SHORT_COMPLETE_PROVISION
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_6,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,13,90,3,3,,,,,4,DEFINITIONS:,byelaws;pacs,SHORT_COMPLETE_PROVISION
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_7,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,55,361,4,4,,,,,4,DEFINITIONS:,byelaws;governance;management;pacs,
PACS_MODEL_BYLAWS_CLAUSE_4_SUB_8,PACS_MODEL_BYLAWS,child,ACTIVE,model_byelaws,Central,11,92,4,4,,,,,4,DEFINITIONS:,byelaws;pacs,SHORT_COMPLETE_PROVISION
