chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
PMFBY_2023_DOC,PMFBY_2023,parent,REFERENCE_ONLY,scheme_guideline,India,5,32,1,213,,,,,,,crop_insurance;pmfby,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
PMFBY_2023_SEC_001,PMFBY_2023,child,REVIEW,scheme_guideline,India,20,147,1,1,,,,,,Department of Agriculture & Farmers Welfare\,crop_insurance;pmfby,TOC_REVIEW
PMFBY_2023_SEC_002,PMFBY_2023,child,REVIEW,scheme_guideline,India,440,3110,1,3,,,,,,Ministry of Agriculture & Farmers Welfare,claim;crop_insurance;crop_loss;grievance;management;pmfby;premium;reporting,TABLE_REVIEW;TOC_REVIEW
PMFBY_2023_SEC_003,PMFBY_2023,child,REFERENCE_ONLY,scheme_guideline,India,1184,8457,4,9,,,,,,TABLE INDEX,crop_insurance;crop_loss;grievance;management;pacs;pmfby;premium,LONG_CHUNK_NO_SAFE_SPLIT
PMFBY_2023_SEC_004,PMFBY_2023,parent,REFERENCE_ONLY,scheme_guideline,India,542,3785,10,11,,,,,,Pradhan Mantri Fasal Bima Yojana,crop_insurance;documents;grievance;management;pmfby,
PMFBY_2023_SEC_004_SUB_1,PMFBY_2023,child,ACTIVE,scheme_guideline,India,394,2809,10,10,,,,,,Pradhan Mantri Fasal Bima Yojana,crop_insurance;management;pmfby,
PMFBY_2023_SEC_004_SUB_2,PMFBY_2023,child,ACTIVE,scheme_guideline,India,148,974,10,11,,,,,,Pradhan Mantri Fasal Bima Yojana,crop_insurance;documents;grievance;pmfby,
PMFBY_2023_SEC_005,PMFBY_2023,child,ACTIVE,scheme_guideline,India,99,708,11,11,,,,,,Objective of the Scheme,crop_insurance;crop_loss;pmfby,
PMFBY_2023_SEC_2,PMFBY_2023,parent,REFERENCE_ONLY,scheme_guideline,India,7,51,11,14,2,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby,SHORT_CONTEXT_PARENT
PMFBY_2023_SEC_2_1,PMFBY_2023,child,ACTIVE,scheme_guideline,India,68,485,11,11,2.1,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby,
PMFBY_2023_SEC_2_2,PMFBY_2023,child,ACTIVE,scheme_guideline,India,42,318,11,11,2.2,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby,
PMFBY_2023_SEC_2_3,PMFBY_2023,child,ACTIVE,scheme_guideline,India,94,641,11,11,2.3,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby;premium;timeline,
PMFBY_2023_SEC_2_4,PMFBY_2023,child,ACTIVE,scheme_guideline,India,41,274,11,11,2.4,,,,,Adoption of Technology for Scheme Administration,crop_insurance;documents;pmfby;premium,
PMFBY_2023_SEC_2_5,PMFBY_2023,child,ACTIVE,scheme_guideline,India,50,343,11,12,2.5,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby,
PMFBY_2023_SEC_2_6,PMFBY_2023,child,ACTIVE,scheme_guideline,India,36,243,12,12,2.6,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby,
PMFBY_2023_SEC_2_7,PMFBY_2023,child,ACTIVE,scheme_guideline,India,49,384,12,12,2.7,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pmfby,
PMFBY_2023_SEC_2_8,PMFBY_2023,child,ACTIVE,scheme_guideline,India,53,430,12,12,2.8,,,,,Adoption of Technology for Scheme Administration,crop_insurance;pacs;pacs_services;pmfby,
PMFBY_2023_SEC_2_9,PMFBY_2023,child,ACTIVE,scheme_guideline,India,59,369,12,12,2.9,,,,,Adoption of Technology for Scheme Administration,crop_insurance;eligibility;pmfby;premium;timeline,
