chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MSCS_ACT_2002_DOC,MSCS_ACT_2002,parent,REFERENCE_ONLY,act,Central,6,47,6,77,,,,,,,multistate,CONTEXT_PARENT;SHORT_CONTEXT_PARENT
MSCS_ACT_2002_CONTEXT_001,MSCS_ACT_2002,child,REFERENCE_ONLY,act,Central,104,654,6,6,,,,,,,multistate,
MSCS_ACT_2002_SEC_1,MSCS_ACT_2002,child,ACTIVE,act,Central,89,528,6,6,1,,,,,"Short title, extent and commencement",multistate,
MSCS_ACT_2002_SEC_2,MSCS_ACT_2002,child,ACTIVE,act,Central,88,565,6,7,2,,,,,Application,multistate;registration,
MSCS_ACT_2002_SEC_3,MSCS_ACT_2002,parent,REFERENCE_ONLY,act,Central,661,4319,7,8,3,,,,,Definitions,byelaws;deposits;governance;management;meetings;membership;multistate;registrar;registration,
MSCS_ACT_2002_SEC_3_SUB_A,MSCS_ACT_2002,child,ACTIVE,act,Central,15,87,7,7,3,,,,a,Definitions,multistate,SHORT_COMPLETE_PROVISION
MSCS_ACT_2002_SEC_3_SUB_B,MSCS_ACT_2002,child,ACTIVE,act,Central,37,223,7,7,3,,,,b,Definitions,governance;management;multistate,
MSCS_ACT_2002_SEC_3_SUB_C,MSCS_ACT_2002,child,ACTIVE,act,Central,43,256,7,7,3,,,,c,Definitions,byelaws;multistate,
MSCS_ACT_2002_SEC_3_SUB_D,MSCS_ACT_2002,child,ACTIVE,act,Central,36,244,7,7,3,,,,d,Definitions,multistate;registrar,
MSCS_ACT_2002_SEC_3_SUB_E,MSCS_ACT_2002,child,ACTIVE,act,Central,16,111,7,7,3,,,,e,Definitions,multistate,SHORT_COMPLETE_PROVISION
MSCS_ACT_2002_SEC_3_SUB_F,MSCS_ACT_2002,child,ACTIVE,act,Central,12,97,7,7,3,,,,f,Definitions,multistate,SHORT_COMPLETE_PROVISION
MSCS_ACT_2002_SEC_3_SUB_G,MSCS_ACT_2002,child,ACTIVE,act,Central,12,95,7,7,3,,,,g,Definitions,multistate,SHORT_COMPLETE_PROVISION
MSCS_ACT_2002_SEC_3_SUB_H,MSCS_ACT_2002,child,ACTIVE,act,Central,28,170,7,7,3,,,,h,Definitions,multistate,
MSCS_ACT_2002_SEC_3_SUB_I,MSCS_ACT_2002,child,ACTIVE,act,Central,60,341,7,7,3,,,,i,Definitions,multistate;registrar,
MSCS_ACT_2002_SEC_3_SUB_J,MSCS_ACT_2002,child,ACTIVE,act,Central,26,185,7,7,3,,,,j,Definitions,deposits;multistate,
MSCS_ACT_2002_SEC_3_SUB_K,MSCS_ACT_2002,child,ACTIVE,act,Central,28,197,7,7,3,,,,k,Definitions,membership;multistate,
MSCS_ACT_2002_SEC_3_SUB_L,MSCS_ACT_2002,child,ACTIVE,act,Central,59,381,7,7,3,,,,l,Definitions,multistate,
MSCS_ACT_2002_SEC_3_SUB_M,MSCS_ACT_2002,child,ACTIVE,act,Central,21,136,7,7,3,,,,m,Definitions,meetings;multistate,
MSCS_ACT_2002_SEC_3_SUB_N,MSCS_ACT_2002,child,ACTIVE,act,Central,40,256,7,8,3,,,,n,Definitions,byelaws;membership;multistate;registration,
MSCS_ACT_2002_SEC_3_SUB_O,MSCS_ACT_2002,child,ACTIVE,act,Central,20,133,8,8,3,,,,o,Definitions,multistate,
MSCS_ACT_2002_SEC_3_SUB_P,MSCS_ACT_2002,child,ACTIVE,act,Central,26,178,8,8,3,,,,p,Definitions,multistate,
MSCS_ACT_2002_SEC_3_SUB_Q,MSCS_ACT_2002,child,ACTIVE,act,Central,59,352,8,8,3,,,,q,Definitions,byelaws;multistate,
