source_id,filename,pages,raw_chars,cleaned_chars,parent_records,child_records,total_records,sections_detected,rules_detected,clauses_detected,headings_detected,tables_detected,forms_detected,warnings,status
MSCS_ACT_2002,mscs_act_2002.pdf,77,172300,161154,16,211,227,124,0,0,127,0,0,SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT,PASS
MSCS_AMD_2023,mscs_amendment_act_2023.pdf,23,67845,67697,1,51,52,48,0,0,39,1,0,BILINGUAL_REVIEW;DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MULTIPLE_AMENDMENT_ACTIONS;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,REVIEW
MSCS_RULES_2002,mscs_rules_2002.pdf,54,115105,106302,2,33,35,0,23,0,30,6,5,LONG_CHUNK_NO_SAFE_SPLIT;MULTIPLE_FORMS_REVIEW;RULE_IDENTIFIER_MISSING;SHORT_CHUNK;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,PASS
MSCS_RULES_AMD_2023,mscs_amendment_rules_2023.pdf,49,160440,157358,4,69,73,0,27,0,6,0,2,BILINGUAL_REVIEW;DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;MULTIPLE_AMENDMENT_ACTIONS;MULTIPLE_FORMS_REVIEW;SHORT_CHUNK;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN,REVIEW
KA_ACT_1959,karnataka_cooperative_societies_act_1959.pdf,189,439820,422978,19,312,331,222,0,0,252,0,0,LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;SECTION_IDENTIFIER_MISSING;SHORT_CHUNK;SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN,PASS
MH_ACT_1960,maharashtra_cooperative_societies_act_1960.pdf,203,704077,692702,47,618,665,315,0,0,315,8,1,DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;MULTIPLE_FORMS_REVIEW;SECTION_IDENTIFIER_MISSING;SHORT_CHUNK;SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,PASS
MH_RULES_1961,maharashtra_cooperative_societies_rules_1961.pdf,145,394081,381632,9,206,215,0,98,0,141,3,40,DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY;MULTIPLE_FORMS_REVIEW;RULE_IDENTIFIER_MISSING;SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN;TABLE_REVIEW;TOC_REVIEW,REVIEW
PACS_MODEL_BYLAWS,model_bye_laws_pacs.pdf,37,60458,59841,8,107,115,0,0,19,19,0,0,LONG_CHUNK_NO_SAFE_SPLIT;SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT,PASS
PACS_COMPUTERIZATION,pacs_computerization_guidelines.pdf,26,41579,37286,10,58,68,0,0,0,58,10,0,SHORT_CHUNK;SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT;TABLE_REVIEW,PASS
PMFBY_2023,pmfby_operational_guidelines_2023.pdf,213,614945,591593,101,865,966,0,0,0,793,116,1,DUPLICATE_TEXT;LONG_CHUNK_NO_SAFE_SPLIT;MULTIPLE_FORMS_REVIEW;SHORT_COMPLETE_PROVISION;SHORT_CONTEXT_PARENT;STRUCTURE_UNCERTAIN;TABLE_REVIEW;TOC_REVIEW,REVIEW
CRCS_OMBUDSMAN,cooperative_ombudsman_guidance.pdf,2,2439,2383,1,5,6,0,0,0,4,0,0,SHORT_CONTEXT_PARENT,PASS
